Source Plate Barcode,Source Well,Destination Plate Barcode,Destination Well,Transfer Volume,Offset
source_A_L1,B11,dest_EY_A_P1,D7,500,
source_A_L1,B17,dest_EY_A_P1,D7,500,
source_A_L1,B23,dest_EY_A_P1,D7,500,
source_A_L1,C5,dest_EY_A_P1,D7,500,
source_A_L1,A13,dest_EY_A_P1,D8,500,
source_A_L1,A3,dest_EY_A_P1,D8,500,
source_A_L1,B5,dest_EY_A_P1,D8,500,
source_A_L1,B7,dest_EY_A_P1,D8,500,
source_A_L1,A21,dest_EY_A_P1,D8,500,
source_A_L1,B11,dest_EY_A_P1,D8,500,
source_A_L1,B17,dest_EY_A_P1,D8,500,
source_A_L1,B23,dest_EY_A_P1,D8,500,
source_A_L1,C5,dest_EY_A_P1,D8,500,
source_A_L1,A13,dest_EY_A_P1,D9,500,
source_A_L1,A15,dest_EY_A_P1,D9,500,
source_A_L1,A17,dest_EY_A_P1,D9,500,
source_A_L1,A19,dest_EY_A_P1,D9,500,
source_A_L1,A9,dest_EY_A_P1,D9,500,
source_A_L1,A23,dest_EY_A_P1,D9,500,
source_A_L1,B17,dest_EY_A_P1,D9,500,
source_A_L1,B23,dest_EY_A_P1,D9,500,
source_A_L1,C5,dest_EY_A_P1,D9,500,
source_A_L1,A13,dest_EY_A_P1,D10,500,
source_A_L1,A15,dest_EY_A_P1,D10,500,
source_A_L1,A17,dest_EY_A_P1,D10,500,
source_A_L1,A19,dest_EY_A_P1,D10,500,
source_A_L1,A9,dest_EY_A_P1,D10,500,
source_A_L1,A23,dest_EY_A_P1,D10,500,
source_A_L1,B17,dest_EY_A_P1,D10,500,
source_A_L1,B23,dest_EY_A_P1,D10,500,
source_A_L1,C5,dest_EY_A_P1,D10,500,
source_A_L1,B1,dest_EY_A_P1,D11,500,
source_A_L1,B3,dest_EY_A_P1,D11,500,
source_A_L1,A17,dest_EY_A_P1,D11,500,
source_A_L1,A19,dest_EY_A_P1,D11,500,
source_A_L1,A21,dest_EY_A_P1,D11,500,
source_A_L1,A23,dest_EY_A_P1,D11,500,
source_A_L1,B17,dest_EY_A_P1,D11,500,
source_A_L1,B23,dest_EY_A_P1,D11,500,
source_A_L1,C5,dest_EY_A_P1,D11,500,
source_A_L1,A13,dest_EY_A_P1,D12,500,
source_A_L1,B3,dest_EY_A_P1,D12,500,
source_A_L1,B5,dest_EY_A_P1,D12,500,
source_A_L1,A19,dest_EY_A_P1,D12,500,
source_A_L1,A9,dest_EY_A_P1,D12,500,
source_A_L1,B11,dest_EY_A_P1,D12,500,
source_A_L1,B17,dest_EY_A_P1,D12,500,
source_A_L1,B23,dest_EY_A_P1,D12,500,
source_A_L1,C5,dest_EY_A_P1,D12,500,
source_A_L1,A1,dest_EY_A_P1,E1,500,
source_A_L1,A15,dest_EY_A_P1,E1,500,
source_A_L1,A5,dest_EY_A_P1,E1,500,
source_A_L1,A7,dest_EY_A_P1,E1,500,
source_A_L1,A21,dest_EY_A_P1,E1,500,
source_A_L1,A11,dest_EY_A_P1,E1,500,
source_A_L1,B17,dest_EY_A_P1,E1,500,
source_A_L1,B23,dest_EY_A_P1,E1,500,
source_A_L1,C5,dest_EY_A_P1,E1,500,
source_A_L1,A13,dest_EY_A_P1,E2,500,
source_A_L1,A15,dest_EY_A_P1,E2,500,
source_A_L1,A17,dest_EY_A_P1,E2,500,
source_A_L1,A19,dest_EY_A_P1,E2,500,
source_A_L1,B9,dest_EY_A_P1,E2,500,
source_A_L1,A23,dest_EY_A_P1,E2,500,
source_A_L1,B17,dest_EY_A_P1,E2,500,
source_A_L1,B23,dest_EY_A_P1,E2,500,
source_A_L1,C5,dest_EY_A_P1,E2,500,
source_A_L1,A1,dest_EY_A_P1,E3,500,
source_A_L1,B3,dest_EY_A_P1,E3,500,
source_A_L1,B5,dest_EY_A_P1,E3,500,
source_A_L1,A7,dest_EY_A_P1,E3,500,
source_A_L1,A21,dest_EY_A_P1,E3,500,
source_A_L1,B11,dest_EY_A_P1,E3,500,
source_A_L1,B17,dest_EY_A_P1,E3,500,
source_A_L1,B23,dest_EY_A_P1,E3,500,
source_A_L1,C5,dest_EY_A_P1,E3,500,
source_A_L1,A1,dest_EY_A_P1,E4,500,
source_A_L1,A3,dest_EY_A_P1,E4,500,
source_A_L1,B5,dest_EY_A_P1,E4,500,
source_A_L1,B7,dest_EY_A_P1,E4,500,
source_A_L1,A21,dest_EY_A_P1,E4,500,
source_A_L1,A11,dest_EY_A_P1,E4,500,
source_A_L1,B17,dest_EY_A_P1,E4,500,
source_A_L1,B23,dest_EY_A_P1,E4,500,
source_A_L1,C5,dest_EY_A_P1,E4,500,
source_A_L1,A1,dest_EY_A_P1,E5,500,
